,ETF,Buy_Date,Sell_Date,Buy_Price,Sell_Price,Quantity,Profit
212,512980.XSHG,2023-03-08,2023-03-27 10:30:00,0.694,0.818,5200,644.8
213,512880.XSHG,2023-04-03,2023-04-24 10:30:00,0.942,0.908,4100,-139.39999999999966
214,512170.XSHG,2023-04-07,2023-04-20 14:00:00,0.508,0.489,7800,-148.20000000000013
215,512800.XSHG,2023-04-07,2023-05-09 14:00:00,1.055,1.181,3800,478.8000000000004
216,512980.XSHG,2023-04-28,2023-05-05 10:30:00,0.961,0.995,3900,132.6000000000001
217,561320.XSHG,2023-04-28,2023-05-10 11:30:00,1.002,0.969,3800,-125.4000000000001
218,159930.XSHE,2023-05-15,2023-05-24 10:30:00,1.22,1.175,3200,-143.99999999999977
219,512800.XSHG,2023-05-22,2023-05-24 10:30:00,1.121,1.084,3500,-129.49999999999972
220,159611.XSHE,2023-05-25,2023-06-14 14:00:00,0.939,0.91,4100,-118.89999999999965
221,159996.XSHE,2023-06-02,2023-06-16 10:30:00,1.083,1.147,3600,230.4000000000002
222,512480.XSHG,2023-06-13,2023-06-21 15:00:00,0.942,0.905,4100,-151.69999999999968
223,159619.XSHE,2023-06-15,2023-06-26 10:30:00,0.992,0.962,3800,-114.0000000000001
224,159825.XSHE,2023-06-27,2023-07-21 11:30:00,0.75,0.793,5100,219.30000000000018
225,159852.XSHE,2023-06-27,2023-06-28 10:30:00,1.028,0.984,3700,-162.80000000000015
226,159870.XSHE,2023-06-27,2023-08-22 11:30:00,0.675,0.652,5700,-131.1000000000001
227,515030.XSHG,2023-06-30,2023-07-21 11:30:00,1.539,1.491,2400,-115.19999999999956
228,159928.XSHE,2023-07-03,2023-07-31 11:30:00,0.944,0.999,4100,225.5000000000002
229,512010.XSHG,2023-07-21,2023-08-18 15:00:00,0.429,0.416,8900,-115.7000000000001
230,159619.XSHE,2023-07-25,2023-08-14 10:30:00,1.033,1.001,3700,-118.4000000000001
231,512170.XSHG,2023-08-03,2023-08-07 10:30:00,0.429,0.415,9600,-134.40000000000012
232,561320.XSHG,2023-08-10,2023-08-16 15:00:00,0.961,0.932,4100,-118.89999999999965
233,159852.XSHE,2023-08-14,2023-08-16 10:30:00,0.951,0.913,3900,-148.1999999999997
234,512200.XSHG,2023-08-16,2023-08-21 11:30:00,0.677,0.655,5400,-118.80000000000011
235,159507.XSHE,2023-09-11,2023-09-18 14:00:00,0.921,0.891,3900,-117.0000000000001
236,159928.XSHE,2023-09-11,2023-09-28 10:30:00,0.941,0.912,3900,-113.09999999999967
237,512400.XSHG,2023-09-11,2023-09-22 10:30:00,1.031,0.996,3600,-125.99999999999972
238,512800.XSHG,2023-09-11,2023-10-30 10:30:00,1.114,1.079,3300,-115.50000000000047
239,159766.XSHE,2023-09-18,2023-09-20 11:30:00,0.866,0.839,4100,-110.7000000000001
240,512480.XSHG,2023-10-17,2023-10-23 10:30:00,0.824,0.79,4200,-142.79999999999967
241,512880.XSHG,2023-11-03,2023-12-20 10:30:00,0.946,0.905,3700,-151.69999999999973
242,159996.XSHE,2023-11-14,2023-12-05 11:30:00,1.082,1.049,3200,-105.60000000000045
243,512400.XSHG,2023-11-15,2023-11-23 10:30:00,0.964,0.935,3600,-104.3999999999997
244,516110.XSHG,2023-11-15,2023-12-07 10:30:00,1.077,1.041,3300,-118.80000000000011
245,159507.XSHE,2023-11-23,2023-11-30 14:00:00,0.878,0.85,3800,-106.40000000000009
246,159766.XSHE,2023-11-30,2023-12-05 15:00:00,0.757,0.731,4300,-111.8000000000001
247,159825.XSHE,2023-12-06,2023-12-15 14:00:00,0.749,0.725,4300,-103.20000000000009
248,561320.XSHG,2023-12-08,2023-12-20 11:30:00,0.855,0.828,3900,-105.3000000000001
249,159930.XSHE,2023-12-11,2024-01-05 11:30:00,1.23,1.311,2700,218.6999999999999
250,512980.XSHG,2023-12-19,2023-12-20 15:00:00,0.802,0.773,3900,-113.1000000000001
251,159869.XSHE,2023-12-21,2023-12-22 14:00:00,1.148,1.033,2800,-322.0
252,159611.XSHE,2023-12-25,2024-01-22 15:00:00,0.866,0.836,3500,-105.0000000000001
253,159619.XSHE,2024-01-09,2024-01-18 11:30:00,0.822,0.796,3900,-101.39999999999965
254,159996.XSHE,2024-01-09,2024-01-22 15:00:00,1.043,0.996,3100,-145.6999999999998
255,515030.XSHG,2024-01-11,2024-01-17 10:30:00,1.158,1.121,2900,-107.29999999999977
